experience_level,work_year,employment_type,company_size,job_title,company_location,salary_in_usd
0,2023,3,1,25,70,0.15705332817824613
0,2023,3,1,25,70,0.14581403922062275
3,2023,3,1,25,70,0.44815091218069186
3,2023,3,1,25,70,0.30069144105667306
3,2023,3,1,69,70,0.4654594171754319
3,2023,3,1,33,70,0.2020104840087397
3,2023,3,1,33,70,0.15705332817824613
3,2023,3,1,47,70,0.42679626316120745
3,2023,3,1,47,70,0.3481212404578437
3,2023,3,1,4,70,0.5054712858645711
3,2023,3,1,4,70,0.31035722956022915
2,2023,3,1,33,70,0.21324977296636308
2,2023,3,1,33,70,0.14581403922062275
2,2023,3,2,17,70,0.22448906192398646
2,2023,3,2,5,38,0.03492721436471044
2,2023,3,1,25,28,0.0922655709109219
2,2023,3,1,25,28,0.08407212926081445
3,2023,3,1,33,70,0.31440337358497356
3,2023,3,1,33,70,0.24696763983923323
3,2023,3,1,25,70,0.367003245906651
3,2023,3,1,25,70,0.2249386334822914
3,2023,3,2,8,70,0.34609816844547153
3,2023,3,1,69,70,0.41555697420358406
3,2023,3,1,69,70,0.32564266254259694
2,2023,3,1,33,70,0.3537408849366554
2,2023,3,1,33,70,0.2806855067121034
3,2023,3,1,4,70,0.32564266254259694
3,2023,3,1,4,70,0.25820692879685664
3,2023,3,1,33,70,0.31440337358497356
3,2023,3,1,33,70,0.25820692879685664
3,2023,3,2,8,70,0.48793799509067864
3,2023,3,2,8,70,0.2941726534612515
3,2023,3,1,25,13,0.11138809714342232
3,2023,3,1,25,13,0.08407212926081445
3,2023,3,1,33,70,0.5301977215713426
3,2023,3,1,33,70,0.3368819515002203
3,2023,3,1,33,70,0.48299270794932436
3,2023,3,1,33,70,0.41555697420358406
2,2023,3,1,47,28,0.1387040650260302
2,2023,3,1,47,28,0.11138809714342232
1,2020,3,1,91,12,0.022181860686765514
2,2023,3,1,55,28,0.17968026470773354
2,2023,3,1,55,28,0.1182170891140743
0,2023,3,1,25,70,0.17953190609349293
0,2023,3,1,25,70,0.15705332817824613
3,2023,3,1,33,70,0.3481212404578437
