experience_level,work_year,employment_type,company_size,company_location,job_title,salary_in_usd
3,2023,3,2,25,84,0.18143584164291432
2,2023,2,0,70,66,0.05589972755963567
2,2023,2,0,70,66,0.04578436749777462
3,2023,3,1,12,47,0.3818391073307139
3,2023,3,1,12,47,0.25820692879685664
3,2023,3,2,70,8,0.48793799509067864
3,2023,3,2,70,8,0.2941726534612515
3,2023,3,1,12,47,0.48074485015779966
3,2023,3,1,12,47,0.30541194241887487
3,2023,3,1,70,47,0.31912387494717537
3,2023,3,1,70,47,0.19234469550518357
3,2023,3,1,70,25,0.2806855067121034
3,2023,3,1,70,25,0.21324977296636308
0,2023,3,2,70,8,0.4687412895510579
0,2023,3,2,70,8,0.28239387863366217
3,2023,3,1,70,38,0.31912387494717537
3,2023,3,1,70,38,0.19234469550518357
3,2023,3,1,70,47,0.37059981837309053
3,2023,3,1,70,47,0.32564266254259694
2,2023,3,1,70,25,0.32564266254259694
2,2023,3,1,70,25,0.23572835088160984
3,2023,3,1,20,88,0.6066248864831816
3,2023,3,1,20,88,0.3795912495391892
3,2023,3,1,28,4,0.5054712858645711
3,2023,3,1,28,4,0.31035722956022915
3,2023,3,1,70,18,0.49423199690694775
3,2023,3,1,70,18,0.3400289524083549
3,2023,3,1,70,69,0.43803555211883083
3,2023,3,1,70,69,0.2806855067121034
3,2023,3,1,12,50,0.1907711950511163
3,2023,3,1,12,50,0.15030975480367212
3,2023,3,1,70,33,0.5576215866279437
3,2023,3,1,70,33,0.19234469550518357
3,2023,3,1,70,23,0.75905212332647
3,2023,3,1,70,23,0.40339606355143554
2,2023,3,1,70,33,0.3537408849366554
2,2023,3,1,70,33,0.2806855067121034
2,2023,3,1,70,25,0.22534324788476584
2,2023,3,1,70,25,0.13345082136723704
0,2023,3,2,53,41,0.21324977296636308
0,2023,3,2,53,22,0.05589972755963567
2,2022,3,2,38,69,0.03563304171124919
0,2023,3,2,70,8,0.4484206551156748
0,2023,3,2,70,8,0.23725689417984663
3,2023,3,1,70,33,0.596965841553
3,2023,3,1,70,33,0.486328528911947
3,2023,3,1,70,47,0.46669573896077043
3,2023,3,1,70,47,0.4043176852459607
3,2023,3,1,70,47,0.5774027351933608
3,2023,3,1,70,47,0.5391891527374413
3,2023,3,1,70,47,0.607299243820639
3,2023,3,1,70,47,0.40094589855867363
3,2023,3,1,70,47,0.47962092126203737
3,2023,3,1,70,47,0.43600798439087557
3,2023,3,1,70,33,0.4454534828308623
3,2023,3,1,70,33,0.2662992168463455
3,2023,3,1,70,88,0.4135563807691271
3,2023,3,1,70,88,0.30091622683582553
1,2023,3,1,70,47,0.5700971973709056
1,2023,3,1,70,47,0.4043176852459607
3,2023,3,1,70,33,0.5088430725518581
3,2023,3,1,70,33,0.3616083872069918
3,2023,3,1,70,47,0.3762194628519022
3,2023,3,1,70,47,0.2368522797773722
3,2023,3,1,70,33,0.5234541481967685
3,2023,3,1,70,33,0.38408696512223856
3,2023,3,1,70,33,0.5212062904052439
3,2023,3,1,70,33,0.4412949459165416
3,2023,3,2,70,8,0.6839511945116306
3,2023,3,2,70,8,0.34609816844547153
3,2023,3,1,70,33,0.24696763983923323
3,2023,3,1,70,33,0.17166440382315654
3,2023,3,1,70,47,0.5212062904052439
3,2023,3,1,70,47,0.4412949459165416
3,2023,3,1,70,23,0.617864175440805
3,2023,3,1,70,23,0.4605141300340776
3,2023,3,1,70,31,0.6180889612199575
3,2023,3,1,70,31,0.3663288885691936
3,2023,3,1,70,33,0.4234244764739204
3,2023,3,1,70,33,0.30091622683582553
2,2023,3,2,31,47,0.1347141174460739
3,2023,3,1,70,69,0.32564266254259694
