employee_residence_US,job_title_Data Analyst,company_location_CA,employee_residence_CA,employee_residence_IN,job_title_Data Science Manager,company_location_US,experience_level,job_title_Applied Scientist,employee_residence_DE,job_title_Machine Learning Engineer,company_location_ES,job_title_Research Scientist,company_location_GB,work_year,job_title_Data Manager,salary_in_usd
0,0,0,0,0,0,0,3,0,0,0,1,0,0,2023,0,0.18143584164291432
1,0,0,0,0,0,1,2,0,0,0,0,0,0,2023,0,0.05589972755963567
1,0,0,0,0,0,1,2,0,0,0,0,0,0,2023,0,0.04578436749777462
0,0,1,1,0,0,0,3,0,0,0,0,0,0,2023,0,0.3818391073307139
0,0,1,1,0,0,0,3,0,0,0,0,0,0,2023,0,0.25820692879685664
1,0,0,0,0,0,1,3,1,0,0,0,0,0,2023,0,0.48793799509067864
1,0,0,0,0,0,1,3,1,0,0,0,0,0,2023,0,0.2941726534612515
0,0,1,1,0,0,0,3,0,0,0,0,0,0,2023,0,0.48074485015779966
0,0,1,1,0,0,0,3,0,0,0,0,0,0,2023,0,0.30541194241887487
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.31912387494717537
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.19234469550518357
1,1,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.2806855067121034
1,1,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.21324977296636308
1,0,0,0,0,0,1,0,1,0,0,0,0,0,2023,0,0.4687412895510579
1,0,0,0,0,0,1,0,1,0,0,0,0,0,2023,0,0.28239387863366217
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.31912387494717537
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.19234469550518357
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.37059981837309053
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.32564266254259694
1,1,0,0,0,0,1,2,0,0,0,0,0,0,2023,0,0.32564266254259694
1,1,0,0,0,0,1,2,0,0,0,0,0,0,2023,0,0.23572835088160984
0,0,0,0,0,0,0,3,0,1,0,0,0,0,2023,0,0.6066248864831816
0,0,0,0,0,0,0,3,0,1,0,0,0,0,2023,0,0.3795912495391892
0,0,0,0,0,0,0,3,0,0,0,0,0,1,2023,0,0.5054712858645711
0,0,0,0,0,0,0,3,0,0,0,0,0,1,2023,0,0.31035722956022915
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.49423199690694775
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.3400289524083549
1,0,0,0,0,0,1,3,0,0,1,0,0,0,2023,0,0.43803555211883083
1,0,0,0,0,0,1,3,0,0,1,0,0,0,2023,0,0.2806855067121034
0,0,1,1,0,0,0,3,0,0,0,0,0,0,2023,0,0.1907711950511163
0,0,1,1,0,0,0,3,0,0,0,0,0,0,2023,0,0.15030975480367212
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.5576215866279437
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.19234469550518357
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.40339606355143554
1,0,0,0,0,0,1,2,0,0,0,0,0,0,2023,0,0.3537408849366554
1,0,0,0,0,0,1,2,0,0,0,0,0,0,2023,0,0.2806855067121034
1,1,0,0,0,0,1,2,0,0,0,0,0,0,2023,0,0.22534324788476584
1,1,0,0,0,0,1,2,0,0,0,0,0,0,2023,0,0.13345082136723704
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,0.21324977296636308
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,0.05589972755963567
0,0,0,0,1,0,0,2,0,0,1,0,0,0,2022,0,0.03563304171124919
1,0,0,0,0,0,1,0,1,0,0,0,0,0,2023,0,0.4484206551156748
1,0,0,0,0,0,1,0,1,0,0,0,0,0,2023,0,0.23725689417984663
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.596965841553
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.486328528911947
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.46669573896077043
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.4043176852459607
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.5774027351933608
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.5391891527374413
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.607299243820639
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.40094589855867363
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.47962092126203737
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.43600798439087557
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.4454534828308623
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.2662992168463455
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.4135563807691271
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.30091622683582553
1,0,0,0,0,0,1,1,0,0,0,0,0,0,2023,0,0.5700971973709056
1,0,0,0,0,0,1,1,0,0,0,0,0,0,2023,0,0.4043176852459607
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.5088430725518581
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.3616083872069918
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.3762194628519022
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.2368522797773722
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.5234541481967685
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.38408696512223856
1,0,0,0,0,0,1,3,0,0,0,0,0,0,2023,0,0.5212062904052439
